chr1_1250000	chr4_155250000
chr2_133250000	chr1_127750000
chr2_133750000	chr1_128250000
chr2_135750000	chr1_129750000
chr2_136750000	chr1_130250000
chr2_137250000	chr1_130750000
chr2_137750000	chr1_131250000
chr2_141750000	chr2_41250000
chr2_142750000	chr2_42250000
chr2_144250000	chr2_43750000
chr2_144750000	chr2_44250000
chr2_145250000	chr2_44750000
chr2_145750000	chr2_45250000
chr2_146250000	chr2_45750000
chr2_146750000	chr2_46750000
chr2_147250000	chr2_47250000
chr2_147750000	chr2_47750000
chr2_148250000	chr2_48250000
chr2_148750000	chr2_48750000
chr2_149250000	chr2_49250000
chr2_149750000	chr2_49750000
chr2_150750000	chr2_50250000
chr2_151250000	chr2_50750000
chr2_153250000	chr2_52750000
chr2_156750000	chr2_56250000
chr2_157750000	chr2_57750000
chr2_158750000	chr2_58250000
chr2_159750000	chr2_59250000
chr2_160250000	chr2_59750000
chr2_160750000	chr2_60250000
chr2_161250000	chr2_60750000
chr2_161750000	chr2_61250000
chr2_162250000	chr2_61750000
chr2_162750000	chr2_62250000
chr2_164250000	chr2_63750000
chr2_164750000	chr2_64250000
chr2_165250000	chr2_64750000
chr2_165750000	chr2_65250000
chr2_166250000	chr2_65750000
chr2_166750000	chr2_66250000
chr2_168250000	chr2_67250000
chr2_168750000	chr2_67750000
chr2_169750000	chr2_69250000
chr2_171750000	chr2_70250000
chr2_172250000	chr2_70750000
chr2_172750000	chr2_71250000
chr2_174250000	chr2_72250000
chr2_174750000	chr2_72750000
chr2_175250000	chr2_73250000
chr2_176250000	chr2_73750000
chr2_176750000	chr2_74250000
chr2_177250000	chr2_74750000
chr2_177750000	chr2_75250000
chr2_178250000	chr2_75750000
chr2_181250000	chr2_78250000
chr2_181750000	chr2_78750000
chr2_182750000	chr2_79250000
chr2_183250000	chr2_79750000
chr2_183750000	chr2_80250000
chr2_190750000	chr1_53250000
chr2_191750000	chr1_52250000
chr2_192250000	chr1_51750000
chr2_192750000	chr1_51250000
chr2_193250000	chr1_50750000
chr2_197750000	chr1_54750000
chr2_199250000	chr1_56250000
chr2_200250000	chr1_56750000
chr2_201250000	chr1_57750000
chr2_202750000	chr1_59250000
chr2_203250000	chr1_59750000
chr2_203750000	chr1_60250000
chr2_204250000	chr1_60750000
chr2_205250000	chr1_61250000
chr2_206250000	chr1_62250000
chr2_206750000	chr1_62750000
chr2_208250000	chr1_64250000
chr2_208750000	chr1_64750000
chr2_209250000	chr1_65250000
chr2_210750000	chr1_66750000
chr2_211750000	chr1_67250000
chr2_212250000	chr1_68250000
chr2_213250000	chr1_69250000
chr2_214250000	chr1_69750000
chr2_215250000	chr1_70750000
chr2_215750000	chr1_71250000
chr2_216250000	chr1_71750000
chr2_216750000	chr1_72250000
chr2_217250000	chr1_72750000
chr2_217750000	chr1_73250000
chr2_219250000	chr1_74250000
chr2_219750000	chr1_74750000
chr2_220250000	chr1_75250000
chr2_220750000	chr1_75750000
chr2_221250000	chr1_76250000
chr2_221750000	chr1_76750000
chr2_222250000	chr1_77250000
chr2_222750000	chr1_77750000
chr2_223250000	chr1_78250000
chr2_225250000	chr1_80250000
chr2_225750000	chr1_80750000
chr2_227250000	chr1_81750000
chr2_228250000	chr1_82750000
chr2_230750000	chr1_84750000
chr2_231750000	chr1_87750000
chr2_233250000	chr1_88750000
chr2_233750000	chr1_89250000
chr2_234750000	chr1_90250000
chr2_236750000	chr1_91750000
chr2_237750000	chr1_92250000
chr2_238250000	chr1_92750000
chr2_239250000	chr1_93250000
chr2_239750000	chr1_93750000
chr2_240250000	chr1_94250000
chr2_241750000	chr1_94750000
chr2_242250000	chr1_95250000
chr3_1250000	chr6_104750000
chr3_2250000	chr6_105750000
chr3_2750000	chr6_106250000
chr3_3250000	chr6_106750000
chr3_4750000	chr6_108250000
chr3_5250000	chr6_108750000
chr3_9250000	chr6_112750000
chr3_9750000	chr6_113250000
chr3_10250000	chr6_113750000
chr3_11750000	chr6_114750000
chr3_12250000	chr6_115250000
chr3_13250000	chr6_90750000
chr3_13750000	chr6_91250000
chr3_14750000	chr6_91750000
chr3_15750000	chr14_32750000
chr3_17250000	chr17_50750000
chr3_17750000	chr17_51250000
chr3_18250000	chr17_51750000
chr3_18750000	chr17_52250000
chr3_25750000	chr14_17250000
chr3_27250000	chr14_15750000
chr3_28250000	chr9_118250000
chr3_28750000	chr9_117750000
chr3_29250000	chr9_117250000
chr3_29750000	chr9_116750000
chr3_31750000	chr9_115250000
chr3_33750000	chr9_113750000
chr3_34250000	chr9_113250000
chr3_35750000	chr9_112250000
chr3_36750000	chr9_111250000
chr3_38750000	chr9_119250000
chr3_39250000	chr9_119750000
chr3_41250000	chr9_120750000
chr3_42750000	chr9_121750000
chr3_46750000	chr9_110750000
chr3_47250000	chr9_110250000
chr3_48750000	chr9_108750000
chr3_49250000	chr9_108250000
chr3_50250000	chr9_107750000
chr3_51250000	chr9_106750000
chr3_52250000	chr9_106250000
chr3_52750000	chr14_31750000
chr3_53250000	chr14_31250000
chr3_53750000	chr14_30750000
chr3_54250000	chr14_30250000
chr3_54750000	chr14_29750000
chr3_55750000	chr14_29250000
chr3_56250000	chr14_28750000
chr3_56750000	chr14_28250000
chr3_57250000	chr14_27750000
chr3_57750000	chr14_27250000
chr3_58250000	chr14_8750000
chr3_59750000	chr14_10250000
chr3_60250000	chr14_10750000
chr3_61250000	chr14_11750000
chr3_61750000	chr14_12750000
chr3_62250000	chr14_13250000
chr3_65250000	chr6_93750000
chr3_66750000	chr6_94750000
chr3_67250000	chr6_95250000
chr3_68250000	chr6_96250000
chr3_69250000	chr6_97250000
chr3_69750000	chr6_97750000
chr3_70250000	chr6_98250000
chr3_70750000	chr6_98750000
chr3_71250000	chr6_99250000
chr3_72250000	chr6_100250000
chr3_73750000	chr6_101250000
chr3_74250000	chr6_102250000
chr3_76250000	chr16_75250000
chr3_76750000	chr16_74750000
chr3_77250000	chr16_74250000
chr3_77750000	chr16_73750000
chr3_78250000	chr16_73250000
chr3_78750000	chr16_72750000
chr3_81250000	chr16_70750000
chr3_81750000	chr16_70250000
chr3_82250000	chr16_69750000
chr3_86250000	chr16_66750000
chr3_87250000	chr16_65750000
chr3_88250000	chr16_64750000
chr3_89250000	chr16_63750000
chr3_93750000	chr16_62750000
chr3_97750000	chr16_59250000
chr3_98250000	chr16_58750000
chr3_99250000	chr16_57750000
chr3_102250000	chr16_55250000
chr3_105250000	chr16_52250000
chr3_106750000	chr16_50750000
chr3_111750000	chr16_45750000
chr3_112750000	chr16_44750000
chr3_113250000	chr16_44250000
chr3_114250000	chr16_43250000
chr3_115750000	chr16_41750000
chr3_116250000	chr16_41250000
chr3_117250000	chr16_40250000
chr3_118250000	chr16_39250000
chr3_119250000	chr16_38750000
chr3_119750000	chr16_38250000
chr3_120250000	chr16_37750000
chr3_120750000	chr16_37250000
chr3_121250000	chr16_36750000
chr3_122750000	chr16_35750000
chr3_123250000	chr16_35250000
chr3_123750000	chr16_34750000
chr3_124250000	chr16_34250000
chr3_124750000	chr16_33750000
chr3_125250000	chr16_33250000
chr3_126750000	chr6_89250000
chr3_127250000	chr6_88750000
chr3_128250000	chr6_88250000
chr3_129250000	chr6_115750000
chr3_130250000	chr9_105750000
chr3_130750000	chr9_105250000
chr3_132250000	chr9_104250000
chr3_133250000	chr9_103250000
chr3_136250000	chr9_100750000
chr3_136750000	chr9_100250000
chr3_137250000	chr9_99750000
chr3_138750000	chr9_98750000
chr3_139250000	chr9_98250000
chr3_139750000	chr9_97750000
chr3_140250000	chr9_97250000
chr3_142250000	chr9_95750000
chr3_142750000	chr9_95250000
chr3_143250000	chr9_94750000
chr3_146250000	chr9_92250000
chr3_146750000	chr9_91750000
chr3_147250000	chr9_91250000
chr3_147750000	chr9_90750000
chr3_150250000	chr3_58250000
chr3_150750000	chr3_58750000
chr3_155250000	chr3_63750000
chr3_156250000	chr3_65250000
chr3_156750000	chr3_65750000
chr3_157250000	chr3_66250000
chr3_157750000	chr3_66750000
chr3_158250000	chr3_67250000
chr3_158750000	chr3_67750000
chr3_160250000	chr3_68750000
chr3_161750000	chr3_70250000
chr3_168250000	chr3_29250000
chr3_168750000	chr3_29750000
chr3_169250000	chr3_30250000
chr3_169750000	chr3_30750000
chr3_171250000	chr3_28250000
chr3_171750000	chr3_27750000
chr3_172250000	chr3_27250000
chr3_173250000	chr3_26250000
chr3_173750000	chr3_25750000
chr3_178750000	chr3_32250000
chr3_181250000	chr3_34250000
chr3_182250000	chr3_35250000
chr3_182750000	chr3_35750000
chr3_185250000	chr16_21750000
chr3_185750000	chr16_22250000
chr3_186250000	chr16_22750000
chr3_186750000	chr16_23250000
chr3_187250000	chr16_23750000
chr3_187750000	chr16_24250000
chr3_188250000	chr16_24750000
chr3_188750000	chr16_25250000
chr3_189750000	chr16_25750000
chr3_195250000	chr16_31250000
chr3_195750000	chr16_32750000
chr3_196250000	chr16_32250000
chr3_196750000	chr16_31750000
chr4_1750000	chr5_34250000
chr4_3250000	chr5_35250000
chr4_4750000	chr5_38250000
chr4_6250000	chr5_37250000
chr4_6750000	chr5_36750000
chr4_8250000	chr5_36250000
chr4_8750000	chr5_35750000
chr4_13250000	chr5_41750000
chr4_13750000	chr5_42250000
chr4_15250000	chr5_43750000
chr4_15750000	chr5_44250000
chr4_16750000	chr5_45250000
chr4_17250000	chr5_45750000
chr4_17750000	chr5_46250000
chr4_20250000	chr5_48250000
chr4_20750000	chr5_48750000
chr4_21250000	chr5_49250000
chr4_22750000	chr5_50750000
chr4_23250000	chr5_51250000
chr4_23750000	chr5_51750000
chr4_24250000	chr5_52250000
chr4_24750000	chr5_52750000
chr4_25250000	chr5_53250000
chr4_25750000	chr5_53750000
chr4_27250000	chr5_54750000
chr4_30750000	chr5_58250000
chr4_31250000	chr5_58750000
chr4_38250000	chr5_64750000
chr4_38750000	chr5_65250000
chr4_39250000	chr5_65750000
chr4_40250000	chr5_66250000
chr4_40750000	chr5_66750000
chr4_47250000	chr5_72250000
chr4_47750000	chr5_72750000
chr4_48250000	chr5_73250000
chr4_54750000	chr5_75250000
chr4_55750000	chr5_76250000
chr4_56250000	chr5_76750000
chr4_57250000	chr5_77250000
chr4_57750000	chr5_77750000
chr4_58250000	chr5_78250000
chr4_61750000	chr5_81250000
chr4_62250000	chr5_81750000
chr4_62750000	chr5_82250000
chr4_66250000	chr5_84750000
chr4_76750000	chr5_92750000
chr4_78750000	chr5_96750000
chr4_79250000	chr5_97250000
chr4_80250000	chr5_97750000
chr4_80750000	chr5_98250000
chr4_81250000	chr5_98750000
chr4_81750000	chr5_99250000
chr4_83750000	chr5_100750000
chr4_85250000	chr5_101750000
chr4_88750000	chr5_104750000
chr4_94250000	chr6_64250000
chr4_94750000	chr6_64750000
chr4_95750000	chr3_141750000
chr4_96250000	chr3_141250000
chr4_96750000	chr3_140750000
chr4_97750000	chr3_139750000
chr4_99250000	chr3_138750000
chr4_99750000	chr3_138250000
chr4_100750000	chr3_137750000
chr4_103750000	chr3_135250000
chr4_105250000	chr3_133750000
chr4_109250000	chr3_130750000
chr4_109750000	chr3_130250000
chr4_110250000	chr3_129750000
chr4_111750000	chr3_128750000
chr4_112250000	chr3_128250000
chr4_112750000	chr3_127750000
chr4_114250000	chr3_126750000
chr4_115750000	chr3_125250000
chr4_121750000	chr6_65750000
chr4_123750000	chr3_37250000
chr4_124750000	chr3_37750000
chr4_126250000	chr3_38750000
chr4_128250000	chr3_40250000
chr4_129750000	chr3_41250000
chr4_130750000	chr3_42250000
chr4_134250000	chr3_45250000
chr4_139250000	chr3_50250000
chr4_139750000	chr3_50750000
chr4_140250000	chr3_51250000
chr4_140750000	chr3_51750000
chr4_144250000	chr8_83250000
chr4_145250000	chr8_82750000
chr4_146750000	chr8_81750000
chr4_147250000	chr8_81250000
chr4_147750000	chr8_80750000
chr4_151250000	chr3_86750000
chr4_151750000	chr3_86250000
chr4_152250000	chr3_85750000
chr4_152750000	chr3_85250000
chr4_153250000	chr3_84750000
chr4_153750000	chr3_84250000
chr4_154250000	chr3_83750000
chr4_155750000	chr3_82750000
chr4_159750000	chr3_79250000
chr4_160250000	chr3_78750000
chr4_166750000	chr8_66750000
chr4_169750000	chr8_64250000
chr4_170250000	chr8_63750000
chr4_170750000	chr8_63250000
chr4_173750000	chr8_60250000
chr4_174750000	chr8_59250000
chr4_178250000	chr8_54750000
chr4_178750000	chr8_54250000
chr4_181250000	chr8_51750000
chr4_181750000	chr8_51250000
chr4_182250000	chr8_50750000
chr4_182750000	chr8_50250000
chr4_183250000	chr8_49750000
chr4_183750000	chr8_49250000
chr4_184250000	chr8_48750000
chr4_184750000	chr8_48250000
chr4_185250000	chr8_47750000
chr4_186250000	chr8_47250000
chr4_186750000	chr8_46750000
chr5_250000	chr13_74250000
chr5_1250000	chr13_73750000
chr5_2250000	chr13_73250000
chr5_2750000	chr13_72750000
chr5_3250000	chr13_72250000
chr5_6750000	chr13_69750000
chr5_9250000	chr15_32250000
chr5_10250000	chr15_31750000
chr5_14250000	chr15_27750000
chr5_15750000	chr15_26750000
chr5_16750000	chr15_25750000
chr5_24750000	chr15_18750000
chr5_31250000	chr15_13250000
chr5_32750000	chr15_11750000
chr5_36750000	chr15_8750000
chr5_37250000	chr15_8250000
chr5_37750000	chr15_7750000
chr5_38250000	chr15_7250000
chr5_38750000	chr15_6750000
chr5_40750000	chr15_5250000
chr5_44250000	chr13_119750000
chr5_44750000	chr13_119250000
chr5_45250000	chr13_118750000
chr5_51750000	chr13_116250000
chr5_52250000	chr13_115750000
chr5_52750000	chr13_115250000
chr5_53250000	chr13_114750000
chr5_54750000	chr13_113750000
chr5_56250000	chr13_112750000
chr5_56750000	chr13_112250000
chr5_58250000	chr13_110750000
chr5_60750000	chr13_108750000
chr5_61250000	chr13_108250000
chr5_61750000	chr13_107750000
chr5_64750000	chr13_105250000
chr5_65250000	chr13_104750000
chr5_65750000	chr13_104250000
chr5_66250000	chr13_103750000
chr5_67250000	chr13_102750000
chr5_67750000	chr13_102250000
chr5_68250000	chr13_101750000
chr5_71250000	chr13_100250000
chr5_72250000	chr13_99750000
chr5_72750000	chr13_99250000
chr5_73250000	chr13_98750000
chr5_73750000	chr13_98250000
chr5_74750000	chr13_97250000
chr5_76250000	chr13_96250000
chr5_76750000	chr13_95750000
chr5_77250000	chr13_95250000
chr5_78750000	chr13_94250000
chr5_79250000	chr13_93750000
chr5_79750000	chr13_93250000
chr5_82750000	chr13_89750000
chr5_83250000	chr13_89250000
chr5_86750000	chr13_85250000
chr5_87250000	chr13_84750000
chr5_87750000	chr13_84250000
chr5_88250000	chr13_83750000
chr5_88750000	chr13_83250000
chr5_89250000	chr13_82250000
chr5_90750000	chr13_80750000
chr5_91750000	chr13_79750000
chr5_92250000	chr13_79250000
chr5_95250000	chr13_75750000
chr5_96250000	chr17_17750000
chr5_102250000	chr1_99750000
chr5_103250000	chr17_59250000
chr5_105250000	chr17_61250000
chr5_108750000	chr17_64750000
chr5_109250000	chr17_65250000
chr5_115750000	chr18_47250000
chr5_116250000	chr18_47750000
chr5_117750000	chr18_49250000
chr5_121750000	chr18_53250000
chr5_122250000	chr18_53750000
chr5_123250000	chr18_54250000
chr5_123750000	chr18_54750000
chr5_124250000	chr18_55250000
chr5_124750000	chr18_55750000
chr5_125250000	chr18_56250000
chr5_126250000	chr18_57250000
chr5_127750000	chr18_58250000
chr5_128250000	chr18_58750000
chr5_131250000	chr11_54250000
chr5_131750000	chr11_53750000
chr5_132250000	chr11_53250000
chr5_132750000	chr11_52750000
chr5_133250000	chr11_52250000
chr5_133750000	chr11_51750000
chr5_134750000	chr13_56250000
chr5_135250000	chr13_56750000
chr5_136750000	chr13_57750000
chr5_137750000	chr18_34750000
chr5_138750000	chr18_35750000
chr5_139250000	chr18_36250000
chr5_139750000	chr18_36750000
chr5_140250000	chr18_37250000
chr5_140750000	chr18_37750000
chr5_141250000	chr18_38250000
chr5_141750000	chr18_38750000
chr5_142250000	chr18_39250000
chr5_142750000	chr18_39750000
chr5_145750000	chr18_42750000
chr5_148250000	chr18_62250000
chr5_148750000	chr18_61750000
chr5_149750000	chr18_61250000
chr5_150750000	chr11_55250000
chr5_153750000	chr11_57750000
chr5_155750000	chr11_47250000
chr5_156750000	chr11_46250000
chr5_157250000	chr11_45750000
chr5_157750000	chr11_45250000
chr5_158250000	chr11_44750000
chr5_158750000	chr11_44250000
chr5_159250000	chr11_43750000
chr5_159750000	chr11_43250000
chr5_160750000	chr11_42250000
chr5_163250000	chr11_40250000
chr5_163750000	chr11_39750000
chr5_164250000	chr11_39250000
chr5_164750000	chr11_38750000
chr5_165250000	chr11_38250000
chr5_165750000	chr11_37750000
chr5_166250000	chr11_37250000
chr5_166750000	chr11_36750000
chr5_167250000	chr11_36250000
chr5_167750000	chr11_35750000
chr5_168250000	chr11_35250000
chr5_168750000	chr11_34750000
chr5_169250000	chr11_34250000
chr5_170750000	chr11_33250000
chr5_171250000	chr11_32750000
chr5_171750000	chr11_32250000
chr5_173250000	chr11_31750000
chr5_174250000	chr13_53750000
chr5_175250000	chr13_54250000
chr5_175750000	chr13_54750000
