chr1_2500000	chr4_154500000
chr1_152500000	chr3_92500000
chr1_153500000	chr3_90500000
chr1_154500000	chr3_89500000
chr1_155500000	chr3_88500000
chr1_156500000	chr3_87500000
chr1_160500000	chr1_174500000
chr1_162500000	chr1_172500000
chr1_163500000	chr1_171500000
chr1_164500000	chr1_170500000
chr1_165500000	chr1_169500000
chr1_166500000	chr1_168500000
chr1_167500000	chr1_167500000
chr1_170500000	chr1_165500000
chr1_174500000	chr1_162500000
chr1_175500000	chr1_161500000
chr1_179500000	chr1_158500000
chr1_180500000	chr1_157500000
chr1_181500000	chr1_156500000
chr1_182500000	chr1_155500000
chr1_183500000	chr1_154500000
chr1_184500000	chr1_153500000
chr1_186500000	chr1_152500000
chr1_198500000	chr1_140500000
chr1_199500000	chr1_139500000
chr1_200500000	chr1_138500000
chr1_201500000	chr1_137500000
chr1_202500000	chr1_136500000
chr1_203500000	chr1_135500000
chr1_205500000	chr1_134500000
chr1_206500000	chr1_133500000
chr1_208500000	chr1_196500000
chr1_209500000	chr1_195500000
chr1_210500000	chr1_194500000
chr1_212500000	chr1_193500000
chr1_213500000	chr1_192500000
chr1_214500000	chr1_191500000
chr1_216500000	chr1_190500000
chr1_217500000	chr1_189500000
chr1_218500000	chr1_188500000
chr1_219500000	chr1_187500000
chr1_221500000	chr1_186500000
chr1_225500000	chr1_183500000
chr1_226500000	chr1_182500000
chr1_243500000	chr1_178500000
chr1_244500000	chr1_179500000
chr1_245500000	chr1_180500000
chr1_246500000	chr1_181500000
chr2_6500000	chr12_27500000
chr2_7500000	chr12_26500000
chr2_8500000	chr12_25500000
chr2_11500000	chr12_16500000
chr2_15500000	chr12_13500000
chr2_16500000	chr12_12500000
chr2_19500000	chr12_9500000
chr2_20500000	chr12_8500000
chr2_21500000	chr12_7500000
chr2_22500000	chr12_6500000
chr2_23500000	chr12_5500000
chr2_24500000	chr12_4500000
chr2_25500000	chr12_3500000
chr2_26500000	chr5_30500000
chr2_27500000	chr5_31500000
chr2_28500000	chr5_32500000
chr2_29500000	chr17_72500000
chr2_30500000	chr17_73500000
chr2_32500000	chr17_74500000
chr2_33500000	chr17_75500000
chr2_36500000	chr17_78500000
chr2_37500000	chr17_79500000
chr2_39500000	chr17_81500000
chr2_42500000	chr17_83500000
chr2_43500000	chr17_84500000
chr2_44500000	chr17_85500000
chr2_45500000	chr17_86500000
chr2_46500000	chr17_87500000
chr2_48500000	chr17_88500000
chr2_49500000	chr17_89500000
chr2_50500000	chr17_90500000
chr2_54500000	chr11_30500000
chr2_55500000	chr11_29500000
chr2_56500000	chr11_28500000
chr2_58500000	chr11_26500000
chr2_59500000	chr11_25500000
chr2_60500000	chr11_24500000
chr2_63500000	chr11_21500000
chr2_64500000	chr11_20500000
chr2_70500000	chr6_86500000
chr2_72500000	chr6_84500000
chr2_73500000	chr6_85500000
chr2_74500000	chr6_83500000
chr2_80500000	chr6_77500000
chr2_85500000	chr6_72500000
chr2_86500000	chr6_71500000
chr2_97500000	chr1_36500000
chr2_99500000	chr1_37500000
chr2_100500000	chr1_38500000
chr2_104500000	chr1_41500000
chr2_105500000	chr1_42500000
chr2_111500000	chr2_127500000
chr2_115500000	chr1_126500000
chr2_118500000	chr1_123500000
chr2_119500000	chr1_122500000
chr2_128500000	chr18_32500000
chr2_133500000	chr1_127500000
chr2_134500000	chr1_128500000
chr2_135500000	chr1_129500000
chr2_136500000	chr1_130500000
chr2_137500000	chr1_131500000
chr2_142500000	chr2_42500000
chr2_144500000	chr2_44500000
chr2_145500000	chr2_45500000
chr2_146500000	chr2_46500000
chr2_147500000	chr2_47500000
chr2_148500000	chr2_48500000
chr2_149500000	chr2_49500000
chr2_150500000	chr2_50500000
chr2_151500000	chr2_51500000
chr2_152500000	chr2_52500000
chr2_156500000	chr2_56500000
chr2_157500000	chr2_57500000
chr2_158500000	chr2_58500000
chr2_161500000	chr2_60500000
chr2_162500000	chr2_61500000
chr2_163500000	chr2_62500000
chr2_164500000	chr2_63500000
chr2_166500000	chr2_65500000
chr2_168500000	chr2_67500000
chr2_170500000	chr2_69500000
chr2_171500000	chr2_70500000
chr2_172500000	chr2_71500000
chr2_174500000	chr2_72500000
chr2_175500000	chr2_73500000
chr2_176500000	chr2_74500000
chr2_179500000	chr2_76500000
chr2_180500000	chr2_77500000
chr2_181500000	chr2_78500000
chr2_182500000	chr2_79500000
chr2_191500000	chr1_52500000
chr2_192500000	chr1_51500000
chr2_197500000	chr1_54500000
chr2_198500000	chr1_55500000
chr2_199500000	chr1_56500000
chr2_200500000	chr1_57500000
chr2_201500000	chr1_58500000
chr2_202500000	chr1_59500000
chr2_204500000	chr1_60500000
chr2_205500000	chr1_61500000
chr2_206500000	chr1_62500000
chr2_207500000	chr1_63500000
chr2_208500000	chr1_64500000
chr2_210500000	chr1_66500000
chr2_211500000	chr1_67500000
chr2_212500000	chr1_68500000
chr2_213500000	chr1_69500000
chr2_215500000	chr1_70500000
chr2_217500000	chr1_72500000
chr2_218500000	chr1_73500000
chr2_219500000	chr1_74500000
chr2_220500000	chr1_75500000
chr2_221500000	chr1_76500000
chr2_222500000	chr1_77500000
chr2_223500000	chr1_78500000
chr2_225500000	chr1_80500000
chr2_226500000	chr1_81500000
chr2_227500000	chr1_82500000
chr2_230500000	chr1_84500000
chr2_232500000	chr1_88500000
chr2_233500000	chr1_89500000
chr2_236500000	chr1_91500000
chr2_238500000	chr1_92500000
chr2_239500000	chr1_93500000
chr2_241500000	chr1_94500000
chr2_242500000	chr1_95500000
chr3_500000	chr6_103500000
chr3_1500000	chr6_104500000
chr3_2500000	chr6_106500000
chr3_4500000	chr6_108500000
chr3_9500000	chr6_113500000
chr3_11500000	chr6_114500000
chr3_12500000	chr6_115500000
chr3_14500000	chr6_91500000
chr3_15500000	chr14_32500000
chr3_16500000	chr17_50500000
chr3_18500000	chr17_51500000
chr3_25500000	chr14_17500000
chr3_33500000	chr9_113500000
chr3_35500000	chr9_112500000
chr3_36500000	chr9_111500000
chr3_37500000	chr9_118500000
chr3_38500000	chr9_119500000
chr3_42500000	chr9_121500000
chr3_45500000	chr9_123500000
chr3_47500000	chr9_110500000
chr3_49500000	chr9_108500000
chr3_50500000	chr9_107500000
chr3_51500000	chr9_106500000
chr3_52500000	chr14_31500000
chr3_54500000	chr14_30500000
chr3_55500000	chr14_29500000
chr3_56500000	chr14_28500000
chr3_57500000	chr14_27500000
chr3_60500000	chr14_11500000
chr3_61500000	chr14_12500000
chr3_62500000	chr14_13500000
chr3_65500000	chr6_93500000
chr3_66500000	chr6_94500000
chr3_67500000	chr6_95500000
chr3_68500000	chr6_96500000
chr3_69500000	chr6_97500000
chr3_70500000	chr6_98500000
chr3_71500000	chr6_99500000
chr3_72500000	chr6_100500000
chr3_73500000	chr6_101500000
chr3_77500000	chr16_74500000
chr3_79500000	chr16_72500000
chr3_81500000	chr16_70500000
chr3_82500000	chr16_69500000
chr3_85500000	chr16_67500000
chr3_86500000	chr16_66500000
chr3_88500000	chr16_64500000
chr3_89500000	chr16_63500000
chr3_97500000	chr16_59500000
chr3_99500000	chr16_57500000
chr3_102500000	chr16_55500000
chr3_105500000	chr16_52500000
chr3_107500000	chr16_50500000
chr3_110500000	chr16_46500000
chr3_111500000	chr16_45500000
chr3_113500000	chr16_44500000
chr3_114500000	chr16_43500000
chr3_115500000	chr16_42500000
chr3_116500000	chr16_41500000
chr3_117500000	chr16_40500000
chr3_118500000	chr16_39500000
chr3_119500000	chr16_38500000
chr3_120500000	chr16_37500000
chr3_121500000	chr16_36500000
chr3_122500000	chr16_35500000
chr3_123500000	chr16_34500000
chr3_124500000	chr16_33500000
chr3_127500000	chr6_88500000
chr3_130500000	chr9_105500000
chr3_133500000	chr9_103500000
chr3_134500000	chr9_102500000
chr3_135500000	chr9_101500000
chr3_136500000	chr9_100500000
chr3_139500000	chr9_98500000
chr3_142500000	chr9_95500000
chr3_143500000	chr9_94500000
chr3_146500000	chr9_91500000
chr3_150500000	chr3_58500000
chr3_155500000	chr3_63500000
chr3_156500000	chr3_65500000
chr3_157500000	chr3_66500000
chr3_158500000	chr3_67500000
chr3_159500000	chr3_68500000
chr3_168500000	chr3_29500000
chr3_169500000	chr3_30500000
chr3_171500000	chr3_27500000
chr3_173500000	chr3_25500000
chr3_181500000	chr3_34500000
chr3_182500000	chr3_35500000
chr3_183500000	chr16_20500000
chr3_185500000	chr16_22500000
chr3_188500000	chr16_24500000
chr3_189500000	chr16_25500000
chr3_192500000	chr16_28500000
chr3_193500000	chr16_29500000
chr3_194500000	chr16_30500000
chr3_196500000	chr16_32500000
chr4_1500000	chr5_33500000
chr4_2500000	chr5_34500000
chr4_3500000	chr5_35500000
chr4_4500000	chr5_38500000
chr4_6500000	chr5_37500000
chr4_7500000	chr5_36500000
chr4_13500000	chr5_42500000
chr4_16500000	chr5_44500000
chr4_20500000	chr5_48500000
chr4_22500000	chr5_50500000
chr4_23500000	chr5_51500000
chr4_24500000	chr5_52500000
chr4_25500000	chr5_53500000
chr4_27500000	chr5_54500000
chr4_30500000	chr5_58500000
chr4_39500000	chr5_65500000
chr4_40500000	chr5_66500000
chr4_41500000	chr5_67500000
chr4_47500000	chr5_72500000
chr4_48500000	chr5_73500000
chr4_57500000	chr5_77500000
chr4_58500000	chr5_78500000
chr4_62500000	chr5_81500000
chr4_66500000	chr5_84500000
chr4_72500000	chr5_89500000
chr4_80500000	chr5_98500000
chr4_84500000	chr5_101500000
chr4_85500000	chr5_102500000
chr4_93500000	chr6_63500000
chr4_94500000	chr6_64500000
chr4_96500000	chr3_141500000
chr4_99500000	chr3_138500000
chr4_105500000	chr3_133500000
chr4_108500000	chr3_131500000
chr4_109500000	chr3_130500000
chr4_110500000	chr3_129500000
chr4_111500000	chr3_128500000
chr4_114500000	chr3_126500000
chr4_124500000	chr3_37500000
chr4_126500000	chr3_38500000
chr4_128500000	chr3_40500000
chr4_130500000	chr3_42500000
chr4_139500000	chr3_50500000
chr4_140500000	chr3_51500000
chr4_144500000	chr8_83500000
chr4_147500000	chr8_80500000
chr4_149500000	chr8_79500000
chr4_151500000	chr3_86500000
chr4_152500000	chr3_85500000
chr4_153500000	chr3_84500000
chr4_154500000	chr3_83500000
chr4_155500000	chr3_82500000
chr4_159500000	chr3_79500000
chr4_169500000	chr8_64500000
chr4_170500000	chr8_63500000
chr4_173500000	chr8_60500000
chr4_174500000	chr8_59500000
chr4_178500000	chr8_54500000
chr4_181500000	chr8_51500000
chr4_182500000	chr8_50500000
chr4_183500000	chr8_49500000
chr4_184500000	chr8_48500000
chr4_185500000	chr8_47500000
chr5_3500000	chr13_72500000
chr5_4500000	chr13_71500000
chr5_10500000	chr15_31500000
chr5_14500000	chr15_27500000
chr5_16500000	chr15_25500000
chr5_24500000	chr15_18500000
chr5_36500000	chr15_8500000
chr5_37500000	chr15_7500000
chr5_44500000	chr13_119500000
chr5_50500000	chr13_117500000
chr5_51500000	chr13_116500000
chr5_52500000	chr13_115500000
chr5_53500000	chr13_114500000
chr5_54500000	chr13_113500000
chr5_56500000	chr13_112500000
chr5_58500000	chr13_110500000
chr5_60500000	chr13_108500000
chr5_64500000	chr13_105500000
chr5_65500000	chr13_104500000
chr5_66500000	chr13_103500000
chr5_67500000	chr13_102500000
chr5_68500000	chr13_101500000
chr5_71500000	chr13_100500000
chr5_72500000	chr13_99500000
chr5_73500000	chr13_98500000
chr5_74500000	chr13_97500000
chr5_75500000	chr13_96500000
chr5_77500000	chr13_95500000
chr5_79500000	chr13_93500000
chr5_81500000	chr13_91500000
chr5_87500000	chr13_84500000
chr5_88500000	chr13_83500000
chr5_89500000	chr13_82500000
chr5_91500000	chr13_80500000
chr5_92500000	chr13_78500000
chr5_93500000	chr13_77500000
chr5_94500000	chr13_76500000
chr5_102500000	chr1_99500000
chr5_103500000	chr17_59500000
chr5_105500000	chr17_61500000
chr5_106500000	chr17_62500000
chr5_107500000	chr17_63500000
chr5_108500000	chr17_64500000
chr5_109500000	chr17_65500000
chr5_115500000	chr18_47500000
chr5_117500000	chr18_49500000
chr5_121500000	chr18_52500000
chr5_122500000	chr18_53500000
chr5_123500000	chr18_54500000
chr5_124500000	chr18_55500000
chr5_125500000	chr18_56500000
chr5_126500000	chr18_57500000
chr5_127500000	chr18_58500000
chr5_133500000	chr11_52500000
chr5_134500000	chr13_56500000
chr5_136500000	chr13_57500000
chr5_137500000	chr18_34500000
chr5_138500000	chr18_35500000
chr5_139500000	chr18_36500000
chr5_140500000	chr18_37500000
chr5_141500000	chr18_38500000
chr5_142500000	chr18_39500000
chr5_144500000	chr18_41500000
chr5_145500000	chr18_42500000
chr5_146500000	chr18_43500000
chr5_149500000	chr18_61500000
chr5_153500000	chr11_57500000
chr5_155500000	chr11_47500000
chr5_156500000	chr11_46500000
chr5_157500000	chr11_45500000
chr5_158500000	chr11_44500000
chr5_159500000	chr11_43500000
chr5_163500000	chr11_39500000
chr5_164500000	chr11_38500000
chr5_167500000	chr11_36500000
chr5_168500000	chr11_35500000
chr5_169500000	chr11_34500000
chr5_170500000	chr11_33500000
chr5_171500000	chr11_32500000
chr5_173500000	chr11_31500000
chr5_175500000	chr13_54500000
chr5_176500000	chr13_55500000
chr5_178500000	chr11_50500000
chr5_179500000	chr11_49500000
chr6_2500000	chr13_32500000
chr6_3500000	chr13_34500000
chr6_7500000	chr13_38500000
chr6_10500000	chr13_40500000
chr6_11500000	chr13_41500000
chr6_12500000	chr13_42500000
chr6_13500000	chr13_43500000
chr6_14500000	chr13_44500000
chr6_16500000	chr13_45500000
chr6_17500000	chr13_46500000
chr6_18500000	chr13_47500000
chr6_19500000	chr13_48500000
chr6_21500000	chr13_29500000
chr6_31500000	chr17_35500000
chr6_32500000	chr17_34500000
chr6_33500000	chr17_27500000
chr6_35500000	chr17_28500000
chr6_37500000	chr17_29500000
chr6_38500000	chr17_30500000
chr6_40500000	chr17_49500000
chr6_41500000	chr17_48500000
chr6_42500000	chr17_47500000
chr6_43500000	chr17_46500000
chr6_44500000	chr17_45500000
chr6_45500000	chr17_44500000
chr6_51500000	chr1_20500000
chr6_53500000	chr9_77500000
chr6_73500000	chr1_21500000
chr6_75500000	chr9_79500000
chr6_82500000	chr9_85500000
chr6_83500000	chr9_86500000
chr6_85500000	chr9_87500000
chr6_88500000	chr4_34500000
chr6_89500000	chr4_33500000
chr6_90500000	chr4_32500000
chr6_91500000	chr4_31500000
chr6_92500000	chr4_30500000
chr6_93500000	chr4_29500000
chr6_94500000	chr4_28500000
chr6_97500000	chr4_24500000
chr6_98500000	chr4_23500000
chr6_99500000	chr4_22500000
chr6_105500000	chr10_45500000
chr6_106500000	chr10_44500000
chr6_108500000	chr10_42500000
chr6_109500000	chr10_41500000
chr6_110500000	chr10_40500000
chr6_111500000	chr10_39500000
chr6_114500000	chr10_36500000
chr6_119500000	chr10_53500000
chr6_126500000	chr10_30500000
chr6_127500000	chr10_29500000
chr6_128500000	chr10_28500000
chr6_129500000	chr10_26500000
chr6_132500000	chr10_24500000
chr6_133500000	chr10_23500000
chr6_136500000	chr10_20500000
chr6_137500000	chr10_19500000
chr6_138500000	chr10_18500000
chr6_139500000	chr10_17500000
chr6_140500000	chr10_16500000
chr6_143500000	chr10_13500000
chr6_144500000	chr10_12500000
chr6_147500000	chr10_9500000
chr6_148500000	chr10_8500000
chr6_149500000	chr10_7500000
chr6_152500000	chr10_5500000
chr6_155500000	chr17_3500000
chr6_156500000	chr17_4500000
chr6_157500000	chr17_5500000
chr6_161500000	chr17_12500000
chr6_163500000	chr17_10500000
chr6_170500000	chr17_15500000
chr7_500000	chr5_139500000
chr7_1500000	chr5_140500000
chr7_5500000	chr5_143500000
chr7_6500000	chr5_144500000
chr7_8500000	chr6_8500000
chr7_11500000	chr6_12500000
chr7_14500000	chr12_39500000
chr7_18500000	chr12_35500000
chr7_19500000	chr12_34500000
chr7_20500000	chr12_120500000
chr7_21500000	chr12_119500000
chr7_25500000	chr6_50500000
chr7_26500000	chr6_51500000
chr7_27500000	chr6_52500000
chr7_28500000	chr6_53500000
chr7_31500000	chr6_55500000
chr7_35500000	chr9_24500000
chr7_39500000	chr13_18500000
chr7_40500000	chr13_17500000
chr7_41500000	chr13_16500000
chr7_42500000	chr13_15500000
chr7_44500000	chr11_6500000
chr7_67500000	chr5_134500000
chr7_68500000	chr5_133500000
chr7_69500000	chr5_132500000
chr7_73500000	chr5_135500000
chr7_77500000	chr5_20500000
chr7_78500000	chr5_19500000
chr7_83500000	chr5_13500000
chr7_84500000	chr5_12500000
chr7_86500000	chr5_9500000
chr7_92500000	chr5_3500000
chr7_94500000	chr6_4500000
chr7_95500000	chr6_5500000
chr7_96500000	chr6_6500000
chr7_98500000	chr5_145500000
chr7_100500000	chr5_137500000
chr7_101500000	chr5_136500000
chr7_103500000	chr5_21500000
chr7_104500000	chr5_22500000
chr7_110500000	chr12_42500000
chr7_111500000	chr12_41500000
chr7_114500000	chr6_15500000
chr7_115500000	chr6_16500000
chr7_116500000	chr6_17500000
chr7_120500000	chr6_21500000
chr7_126500000	chr6_27500000
chr7_127500000	chr6_28500000
chr7_128500000	chr6_29500000
chr7_129500000	chr6_30500000
chr7_131500000	chr6_31500000
chr7_132500000	chr6_32500000
chr7_133500000	chr6_33500000
chr7_134500000	chr6_34500000
chr7_139500000	chr6_38500000
chr7_140500000	chr6_39500000
chr7_141500000	chr6_40500000
chr7_147500000	chr6_46500000
chr7_148500000	chr6_47500000
chr7_149500000	chr6_48500000
chr7_150500000	chr5_23500000
chr7_151500000	chr5_24500000
chr7_155500000	chr5_28500000
chr7_156500000	chr5_29500000
chr8_8500000	chr8_36500000
chr8_10500000	chr14_64500000
chr8_20500000	chr14_72500000
chr8_21500000	chr14_71500000
chr8_22500000	chr14_70500000
chr8_25500000	chr14_68500000
chr8_27500000	chr14_66500000
chr8_29500000	chr8_35500000
chr8_30500000	chr8_34500000
chr8_35500000	chr8_29500000
chr8_37500000	chr8_27500000
chr8_38500000	chr8_26500000
chr8_41500000	chr8_24500000
chr8_53500000	chr1_6500000
chr8_59500000	chr4_6500000
chr8_60500000	chr4_7500000
chr8_61500000	chr4_8500000
chr8_64500000	chr3_16500000
chr8_65500000	chr3_17500000
chr8_66500000	chr3_18500000
chr8_67500000	chr1_9500000
chr8_70500000	chr1_12500000
chr8_71500000	chr1_13500000
chr8_72500000	chr1_14500000
chr8_74500000	chr1_16500000
chr8_77500000	chr3_5500000
chr8_78500000	chr3_6500000
chr8_81500000	chr3_9500000
chr8_93500000	chr4_13500000
chr8_94500000	chr4_12500000
chr8_95500000	chr4_11500000
chr8_96500000	chr4_10500000
chr8_99500000	chr15_34500000
chr8_100500000	chr15_35500000
chr8_101500000	chr15_36500000
chr8_103500000	chr15_38500000
chr8_105500000	chr15_39500000
chr8_106500000	chr15_40500000
chr8_107500000	chr15_41500000
chr8_108500000	chr15_42500000
chr8_110500000	chr15_44500000
chr8_116500000	chr15_50500000
chr8_117500000	chr15_51500000
chr8_118500000	chr15_52500000
chr8_119500000	chr15_53500000
chr8_120500000	chr15_54500000
chr8_123500000	chr15_57500000
chr8_125500000	chr15_58500000
chr8_126500000	chr15_59500000
chr8_128500000	chr15_61500000
chr8_133500000	chr15_66500000
chr8_141500000	chr15_72500000
chr8_142500000	chr15_73500000
chr8_144500000	chr15_75500000
chr8_145500000	chr15_76500000
chr9_500000	chr19_25500000
chr9_1500000	chr19_26500000
chr9_3500000	chr19_28500000
chr9_5500000	chr19_29500000
chr9_8500000	chr4_75500000
chr9_9500000	chr4_76500000
chr9_13500000	chr4_81500000
chr9_14500000	chr4_82500000
chr9_18500000	chr4_85500000
chr9_19500000	chr4_86500000
chr9_20500000	chr4_87500000
chr9_22500000	chr4_89500000
chr9_23500000	chr4_90500000
chr9_26500000	chr4_93500000
chr9_28500000	chr4_36500000
chr9_34500000	chr4_41500000
chr9_35500000	chr4_43500000
chr9_36500000	chr4_44500000
chr9_71500000	chr19_24500000
chr9_76500000	chr19_19500000
chr9_79500000	chr19_17500000
chr9_81500000	chr19_15500000
chr9_82500000	chr19_14500000
chr9_87500000	chr13_59500000
chr9_89500000	chr13_60500000
chr9_95500000	chr13_49500000
chr9_98500000	chr13_63500000
chr9_100500000	chr4_46500000
chr9_109500000	chr4_54500000
chr9_111500000	chr4_56500000
chr9_112500000	chr4_57500000
chr9_113500000	chr4_58500000
chr9_115500000	chr4_59500000
chr9_116500000	chr4_62500000
chr9_117500000	chr4_63500000
chr9_118500000	chr4_64500000
chr9_119500000	chr4_65500000
chr9_120500000	chr4_66500000
chr9_121500000	chr4_67500000
chr9_122500000	chr4_69500000
chr9_124500000	chr2_35500000
chr9_126500000	chr2_37500000
chr9_127500000	chr2_38500000
chr9_128500000	chr2_34500000
chr9_129500000	chr2_33500000
chr9_130500000	chr2_32500000
chr9_131500000	chr2_29500000
chr9_133500000	chr2_31500000
chr9_135500000	chr2_28500000
chr9_139500000	chr2_26500000
chr10_1500000	chr13_8500000
chr10_8500000	chr2_9500000
chr10_9500000	chr2_8500000
chr10_10500000	chr2_7500000
chr10_11500000	chr2_6500000
chr10_12500000	chr2_5500000
chr10_13500000	chr2_4500000
chr10_16500000	chr2_12500000
chr10_21500000	chr2_17500000
chr10_22500000	chr2_18500000
chr10_23500000	chr2_19500000
chr10_24500000	chr2_20500000
chr10_44500000	chr6_117500000
chr10_49500000	chr14_34500000
chr10_50500000	chr14_33500000
chr10_54500000	chr19_30500000
chr10_61500000	chr10_69500000
chr10_63500000	chr10_67500000
chr10_68500000	chr10_63500000
chr10_70500000	chr10_62500000
chr10_71500000	chr10_61500000
chr10_72500000	chr10_60500000
chr10_73500000	chr10_59500000
chr10_75500000	chr14_21500000
chr10_76500000	chr14_22500000
chr10_77500000	chr14_23500000
chr10_78500000	chr14_24500000
chr10_80500000	chr14_26500000
chr10_84500000	chr14_39500000
chr10_86500000	chr14_37500000
chr10_88500000	chr14_35500000
chr10_89500000	chr19_32500000
chr10_94500000	chr19_37500000
chr10_95500000	chr19_38500000
chr10_97500000	chr19_40500000
chr10_98500000	chr19_41500000
chr10_99500000	chr19_42500000
chr10_101500000	chr19_43500000
chr10_102500000	chr19_44500000
chr10_103500000	chr19_45500000
chr10_104500000	chr19_46500000
chr10_105500000	chr19_47500000
chr10_108500000	chr19_50500000
chr10_111500000	chr19_53500000
chr10_114500000	chr19_55500000
chr10_115500000	chr19_56500000
chr10_116500000	chr19_57500000
chr10_117500000	chr19_58500000
chr10_119500000	chr19_59500000
chr10_120500000	chr19_60500000
chr10_122500000	chr7_136500000
chr10_123500000	chr7_137500000
chr10_124500000	chr7_138500000
chr10_126500000	chr7_140500000
chr10_128500000	chr7_141500000
chr10_129500000	chr7_142500000
chr10_130500000	chr7_143500000
chr10_131500000	chr7_144500000
chr10_132500000	chr7_145500000
chr10_134500000	chr7_146500000
chr11_500000	chr7_148500000
chr11_1500000	chr7_149500000
chr11_2500000	chr7_150500000
chr11_4500000	chr7_109500000
chr11_6500000	chr7_112500000
chr11_8500000	chr7_116500000
chr11_9500000	chr7_117500000
chr11_11500000	chr7_118500000
chr11_12500000	chr7_119500000
chr11_13500000	chr7_120500000
chr11_14500000	chr7_121500000
chr11_16500000	chr7_122500000
chr11_17500000	chr7_53500000
chr11_18500000	chr7_54500000
chr11_19500000	chr7_56500000
chr11_27500000	chr2_109500000
chr11_28500000	chr2_108500000
chr11_30500000	chr2_106500000
chr11_31500000	chr2_105500000
chr11_33500000	chr2_104500000
chr11_34500000	chr2_103500000
chr11_35500000	chr2_102500000
chr11_36500000	chr2_101500000
chr11_41500000	chr2_96500000
chr11_43500000	chr2_94500000
chr11_44500000	chr2_93500000
chr11_45500000	chr2_92500000
chr11_46500000	chr2_91500000
chr11_47500000	chr2_90500000
chr11_56500000	chr2_85500000
chr11_57500000	chr2_84500000
chr11_61500000	chr19_10500000
chr11_62500000	chr19_8500000
chr11_63500000	chr19_7500000
chr11_64500000	chr19_6500000
chr11_65500000	chr19_5500000
chr11_66500000	chr19_4500000
chr11_70500000	chr7_151500000
chr11_72500000	chr7_108500000
chr11_73500000	chr7_107500000
chr11_75500000	chr7_106500000
chr11_76500000	chr7_105500000
chr11_77500000	chr7_104500000
chr11_84500000	chr7_98500000
chr11_85500000	chr7_97500000
chr11_86500000	chr7_96500000
chr11_92500000	chr9_15500000
chr11_95500000	chr9_13500000
chr11_110500000	chr9_51500000
chr11_111500000	chr9_50500000
chr11_112500000	chr9_49500000
chr11_114500000	chr9_48500000
chr11_115500000	chr9_47500000
chr11_116500000	chr9_46500000
chr11_117500000	chr9_45500000
chr11_118500000	chr9_44500000
chr11_119500000	chr9_43500000
chr11_120500000	chr9_42500000
chr11_121500000	chr9_41500000
chr11_123500000	chr9_40500000
chr11_125500000	chr9_36500000
chr11_126500000	chr9_34500000
chr11_127500000	chr9_33500000
chr11_128500000	chr9_32500000
chr11_129500000	chr9_31500000
chr11_130500000	chr9_30500000
chr11_131500000	chr9_29500000
chr11_133500000	chr9_27500000
chr11_134500000	chr9_26500000
chr12_1500000	chr6_119500000
chr12_2500000	chr6_118500000
chr12_3500000	chr6_127500000
chr12_5500000	chr6_126500000
chr12_6500000	chr6_125500000
chr12_12500000	chr6_134500000
chr12_13500000	chr6_135500000
chr12_16500000	chr6_138500000
chr12_19500000	chr6_140500000
chr12_23500000	chr6_143500000
chr12_24500000	chr6_144500000
chr12_27500000	chr6_146500000
chr12_28500000	chr6_147500000
chr12_39500000	chr15_90500000
chr12_41500000	chr15_92500000
